full_name,gender
deepak,m
poonam,f
muskan,f
chunnu,m
suraj @ sonu,m
haliya aakhon,f
heena,f
nemsi,f
kumari shilpa,f
priti,f
varsha,f
rukshar,f
nanki @ sukhi,f
smt. mamta,f
ali sher,m
rakhi,f
moti lal,m
kalu @ sanjay,m
pankaj  chobe,m
pooja,f
shashikant,m
shrimati seema,m
partik munchal,m
ajara,f
sunita,f
fakiha,f
sumitra,f
sh pratap singh,m
shekhar chand @ makkhan,m
aftab,m
amit,m
harish,m
sunita,f
divya,f
vinay kumar,m
manoj kanwar,f
sunder,m
jaspal singh,m
pushpa soni,f
pawan,m
master hansraj,m
sahrukh khan,m
devi,f
gulshan,f
kartika,f
kumari meera,f
nitesh,m
sabrajeet @ pappu,m
narendra kumar,m
simran kaur,f
rijwan,m
shalu,f
सुश्री मांगी बाई,f
seema bai,f
vashu,m
vinay,m
satish kumar,m
pooja,f
neha,f
parmod,m
kranti,f
vipin gujral,m
vikash kumar,m
sakina@kajal,f
kavita,f
meena,f
sachin,m
deepchand,m
suresh,m
ashu,m
shazad @ sanju,m
parth madan,m
sanjeevan,m
bhavishy kumar sharma  uefh  bholu,m
shashi pandit,m
hardam kumar,m
nazim,m
asgari bagam,f
shri gulshan kumar,m
wakar ahmad,m
sanju,m
aman with his two years daughter gurnaur nayyar,m
kali devi,f
rakesh,m
neeraj,m
satyanarayan darji,m
sonu,f
adrash,m
aasha rani,f
pooja,f
firdous,f
rakesh kumar,m
anshuman jha,m
ganga bishan bairwa,m
rajender,m
ravi,m
birender kuma \r yadav,m
rukhsar khan,f
annu,f
gur charan singh,m
manorma,f
rahul,m
vijay,m
jai gopal,m
gaurav,m
anwar,m
binja ram,m
lokesh,m
sanju,m
pooja,f
lalit kumar,m
sahid,m
sushila,f
satya prakesh malani,m
rahul dubey,m
sundri,f
vicky verma,m
kapil,m
varsha,f
birjesh,m
jarina @ heena,f
soniya,f
chandni with his son karan,f
meena kumari,f
udham,m
mehnaj,f
sahil alam,m
minakshi,f
madhvi @ madhu,f
najma,f
suraj,m
annat singh s/o,m
rajesh kumar,m
monika,f
sishpal,m
tilakraj,m
chandan,m
grpreet kour,f
archna marwha,f
amit parasar,m
jalwad hushen,m
homa soji,m
faiyaaz,m
rajender @ kaku,m
vansh,m
ashok kumar,m
smt. santosh devi,f
rahnuma,f
pooja,f
urmila,f
jyoti,f
atiq ahmad,f
samiksa tiwari,f
vishal ahemad,m
ashwani kumar,m
mamta  d/o,f
simran,f
rakhi,f
bajrangi lal kasyap,m
kalu ram,m
rajmani,m
rohit,m
ramchandra od,m
pooja,f
mohd. sharukh,m
mr. mohammad  sahed,m
ajit kapoor,m
rahul,m
renu,f
rekha bai,f
chunni,m
raj kumar @ raju,m
razim,m
minakshi,f
harbhajan singh,m
ms. narbada,f
hansraj,m
phoola,f
jyoti,f
ankush,m
pooja,f
kiran pal,m
deepak,m
meena devi,f
barkha,f
anita @ annu,f
arjun,m
deepak,m
pooja,f
manish,m
pooja,f
dimple,f
abhaki,f
prezi,f
kishan kumar,m
mustaq,m
anjana,f
saurabh s/o,m
jeet pal  @jitu,m
vijay saini,m
radha bai,f
mainka,f
ashish kumar,m
phalguni,f
joyti,f
aman soni @ badal,m
ravi,m
smt shyamwati,f
smt sarin,f
yashpal singh,m
phoola,f
udai pratap singh,m
ram avtar,m
layba noor,f
sweta,f
renu,f
chunni kumar,m
manju,f
arshad,m
sandeep gupta,m
omkar,m
padam singh,m
ishawar singh,f
pooja,f
chander mani,m
jyoti,f
aakar talwar,m
vijay pal singh,m
smt dharamveeri,f
priyanka,f
savita,f
pooja,f
rohit,m
panna lal,m
mohd yunus,m
sabna,f
mohd. arif,m
nirmla,f
manoj kumar,m
mohd. hasan ali,m
manju,f
sanjeev kumar gupta,m
deepak,m
rekha,f
kajal kumari,f
preeti wadhva,f
sabana,f
noor bano,f
virender singh,m
nazrin,f
neelam,f
ashish,m
bhuralal,m
umar,m
rohit gill,m
pushpender kaur @ khushi,f
rehana,f
smt. preeti bhati,f
sukrita munni,f
jalmi,m
leena,f
neha,f
anju,f
ramesh dubey and his son anoop debey,m
rubi,f
babita negi,f
ekta,f
rahul jain,m
maina d/o ratna lal  gurjar,f
vikash,m
roopa kumar,f
bholu @ golu,m
suman,f
nitesh kumar,m
mona,f
bulbul  devi,f
rohan haldar,m
pooja,f
renuka parmar,f
moh suhel,m
megh singh,m
rakesh kumar,m
pooja,f
surajpal,m
mangu,m
vimla,f
ridhima,f
kalpna singh,f
manju devi,f
vijay tyagi,m
neeraj,f
shrikant manjhi,m
kumkum,f
rajni devi,f
kirti,f
smt. rakhi jain,f
rijakpal,m
surender,m
asha,f
unknown person,m
subhodh,m
chajju singh,m
arti devi,f
babli,f
pooja,f
soni,f
munna kumar,m
manoj joshi,m
isha,f
dariya devi,f
anoopama,f
soniya,f
pinki,f
tushar singh,m
pramod,m
sandeep dubey,m
radheshyam,m
anjaly,f
shivam,m
navneet kaur,f
sandeep,m
manju,f
balchand,m
shivani,f
kehkasa,f
deepak,m
rinku,m
joni,m
mukesh,m
gouri sharma,f
shibu,m
rajat,m
pushpa,f
ravi kapoor,m
sunita @ kajal,f
ashwani saluja,m
manav,m
hari shankar,m
indra wati,f
raju @ rahul,m
gayatri devi,f
sachin,m
abhishek,m
surender singh,m
muni,f
krashana,f
ashwani,m
manish goyal,m
samiksha  rathor,f
mamta @ geeta,f
babita,f
smt vandana,f
suman,f
suman,f
rihana,f
deepika singh,f
harsh singhal,m
devika goyal,f
jugender khetpal,m
sanjay,m
siddhi dubey,f
rukmani bai,f
ravi,m
anita,f
abdul kadir,m
ayush,m
doli,f
ashrfi,m
pritam singh,m
khushi,f
raju,m
mamta,f
meena,f
sangeeta mahali,f
mandeep,m
vikas gupta,m
sita devi,f
tirath,m
rohit,m
radha,f
monika,f
ramvir,m
komal,f
gulshan,f
raja kumar,m
jaswant singh,m
sneha,f
sunita rani,f
parwati,f
brijesh kumar,m
jharna,f
sashi,m
maalti @ mamta,f
pooja,f
sushila,f
payal,f
vijay sharma,m
ankeet kumar,f
shri ram mehto,m
soni,f
neelam,f
vijendra singh rajawat,m
nikhil,m
gori,f
gudiya,f
deepanker,m
hazara,f
aryan,m
subhagya,f
mrs. basanti devi,f
preti,f
rajesh anand,m
seeta,f
munna sanover,m
subham,m
bhawana,f
jaspreet,m
parveen kumar,m
dinesh kumar sharma,m
nirmla,f
mabiya,f
renu,f
sarla,f
vijay anadn,m
nisha,f
laxmi @ sujata,f
veermati,f
poonam,f
moh iqbal,m
ashok kumar,m
राधेश्‍याम,m
smt  archana,f
natthu,m
shaukat khan,m
manisha,f
shyam lal,m
mohammad ali imam,m
satendra singh,m
guru lal,m
hasbul nisha,f
chottu,m
smt. kanchan,f
nakul gehlot,m
laxmi,f
sabiya,f
sunil,m
jogender,m
dalip,m
constable  sanjai kumar,m
jyoti,f
menka,f
sunil kumar,m
sarvesh,m
anita,f
smt sumitra,f
vihsal kumar,m
manisha,f
arti,f
chaman jahan,f
chander rekha w/o om prakash,f
ku. pinkee,f
pardeep,m
smt vinita,f
shetal rani,f
mahbir parsad,m
jagmohan,m
parmod,m
madan pal,m
mahaveer singh yadav,m
sazi,f
varsha,f
sukhbir,m
minakshi,f
vikash,m
smt. reena,f
rishi pal,m
fareena,f
raj kumari,f
amarjeet,m
bharti kumari,f
hira lal,m
pawan meghwal,m
mamta rani koli,f
monika,f
sh birma,m
kali bai,f
brijesh,m
sangeeta,f
santosh  kumar,m
rachna(with baby boy),f
nisha,f
jyoti,f
meena and harsh,f
yogita,f
bhawna,f
veenita,f
sumender pradhan,m
deepu,m
sipra,f
nisha,f
deepika,f
"devender singh s/o shrinath r/o kh. no. 72/1, utsa",m
baljeet kaur,f
priynka,f
farah khan,f
sumit,m
jai shanker,m
rinki,f
razi ahmad,m
radhika,f
gulshan bhola,m
kumari pinki,f
rani kaur,f
kifayat tula khan,m
sri kant,m
shalesh,f
rajrani,f
pankaj  kumar,m
parul,f
anil kumar,m
juna d/o prem bahadur,f
priyanka,f
kiran,f
aakash,m
neetu,m
geeta,f
kaushal,f
bharti kumari,f
gulshan chadda,m
sandeep,m
pooja,f
shivani,f
neeti,f
pramod,m
chander shekhar,m
kismti khatoon @ khushboo,f
ashok kumar,m
rohit,m
komal,f
surender singh,m
shashi kant,f
preeti  sharma,f
seeta,f
smt prakshi devi,f
shkur khan,m
sheru khan,m
monu@ neeraj,m
laxmi @ roma,f
ram kishore,m
rajesh,m
pardeep,m
sneh lata,f
phoolwati,f
farha  khan,f
arjun singh,m
akhil mehta,m
monu,m
apsana parveen,f
pinki,f
poonam das,f
shayamveer singh,m
seema,f
munni devi,f
pareeti,f
sana khatoon,f
anil kumar,m
arsh,m
kamal,m
gopal singh,m
akram ali,m
devender,m
meena devi,f
annu,f
mukesh bluni,m
jitendra kumar,f
aarti,f
jyoti,f
manju bai,f
anita,f
sujit jha,m
shabreen,f
parmod sharma,m
gudia,f
saroj,f
smt sanjana,f
kishan yadav,m
anchal,f
pinki,f
juhewuddin,m
kumari sunita,f
kuldeep kumar,m
praveen kumar,m
poornima,f
kuldeep,m
pooja,f
parul,f
mukesh,m
jyoti,f
sameer,m
kali,f
pinki,f
aditya pathak,m
khairti lal,m
ashok kumar,m
meti kumari,f
ankita sharma,f
sheetal,f
durgesh,f
ayasha,f
jyoti,f
kundan,m
sikender,m
poonam devi,f
roshani,f
pooja,f
pintu saini,m
ekta chopra,f
sudama,f
lalit kumar,m
ravinda kumari,f
md savir,m
santosh d/o gokul singh r/o kudi taragar  ps jawaj,f
surendra,m
noor jha,f
vimal dhakad,m
gulshan kumar @ sonu,m
imran,m
sulochna devi,f
arti,f
ankit,m
smt anita,f
mukesh,m
mahesh,m
rani,f
rachnu,f
mahesh kumar yogi,m
amar singh,m
maadhuri rai,f
abhishek @ rohit,m
jagdish singh,m
shiwani siyal,f
saniya,f
tina,f
laxmi @ pooja,f
ayub khan,m
sanjeev s/o,m
saroj bala ( with four children ),f
aamir hussain,m
nishant,m
razni,f
ajay,m
kamakshya @ mona,f
pooja,f
babita,f
rima,f
nikhil,m
muskan,f
reshma,f
kavita,f
sandeep kumar,m
rajan,m
arman ansari,m
kalu bhatiya,m
vijay kumar,m
neeru,f
kherul nisha,f
suman,f
sunil kumar,m
azad singh,m
pushpender,m
achin chakraborty,m
smt shiya,f
jaffar,m
omesh,m
aashu,m
salin malhotra,m
deepmala,f
nagina,f
saral,f
veer singh,m
aashish gupta,m
shashi seni,f
manish @ mannu,m
praveen,m
priya,f
monika,f
rohit kumar,m
neeraj,m
harpal,m
rajkumari,f
sudhir,m
sangeeta,f
chumki,f
asha sharma,f
aaftab aslam,m
kamni,f
shyam,m
miss badi,f
jyoti,f
ruchika @ gudiya,f
smt. lalita,f
khushbu,f
mahesh,m
jyoti @ punima,f
shmejha,f
om beer singh,m
robin,m
aasma,f
jyoti,f
miss meena,f
nanak chand,m
rahul,m
ashish vajpay,m
piyush mehto,m
raj kumari yadav,f
lal singh,m
manju bai,f
anjali,f
shadik,m
tina,f
meeta sharma,f
rakkibhul,m
satish,m
neha,f
kalu lal meena,m
anjali,f
anjali,f
neha,f
gulnaaz,f
aman,m
manish kumar,m
ajay @ kalu,m
ankit,m
yogender kumar gupta,m
jumrati,m
leela,f
jaswant,m
surender nath saini,m
harbai,f
himanshi agrwal,f
navendra,m
nirmal kaur,f
narayan gadri,m
nargis,f
laxman,m
dinesh kumar aggarwal,m
babita,f
pravendra,m
smt gita,f
bhawana,f
asha,f
rishabh jain,m
gaurav sharma,m
nisha,f
vinod kesri,m
paras chawla,m
gugna,m
chotum karmokar,m
meera,f
rani,f
tarun vadhuva,m
adesh kumar,m
rekha,f
neha,f
anita,f
rekha,f
ajit,m
tulsi,f
pooja,f
md. samim,m
rajni,f
savita,f
rubina,f
sachin,m
tanu,f
omprakash,m
sunil dutt,m
manisha,f
mahendra singh,m
devkali,f
ekta,f
kajal,f
chotu,m
dhruv kumar,m
kasumbi,f
suraj,m
kundan singh,m
dimpy,m
sadik ali,m
nikita senger,f
dibakar rout,m
rupa,f
sushma kapoor,f
tuka ram maruti ghonde,m
asha,f
akash,m
sumitra,f
mh sahil,m
punit sharma,m
ganga bhagat,m
rinukanwr,f
neha,f
anju bala,f
vikas parshad,m
smt. shano,f
mukesh @ golu,m
laxmi,f
suman,f
pooja,f
shushila balai,f
anayatha naidu,f
maya dhaval,f
dinesh singh,m
miss kanika,f
ashish malodia,m
priyanka,f
sunil kansal,m
pooja,f
fahija,f
mohit kausal,m
tirlok singh,m
bhupender s/o,m
smt.ranni,f
danish,m
shushil,m
poonam yadav,f
nitu @ chander pati,f
suman,f
govind,m
geeta devi,f
adarsh,m
naresh yadav,m
durga  with her son aayush,f
rajni,f
laxmi kumari,f
dhapu,f
manisha,f
shalu,f
pardeshi,m
sushma devi,f
amuchla barman,m
chhatar pal @ anil,m
sivani,f
vinod,m
sakshi,f
rajender singh,m
poonam,f
afsana,f
geeta,f
surajbhan,m
minakxi,f
kajal@sundri,f
isha devi,f
krishan,m
chandabai,f
shalu,f
arti,f
amar singh,m
ruhhena,f
sonu yadav,f
gaurav,m
pawan dhyani,m
vinod kumar,m
yashodha devi,f
rashida,f
rukhsar,f
neha,f
raj a,m
rahul,m
km soni,f
ankur divedi,m
arvind @ arun,m
arun yadav,m
bhudhi prakash gahlot,m
krishna kumari,f
jyoti bai,f
marzina khatoon,f
sulekha,f
sunita,f
vijender,m
subhash lal,m
meenu,f
prahlad,m
durga,f
subhash,m
satya sunder pauigrali,m
satayanarayan,m
laxmi,f
charu vij,f
sarita,f
indernath bhagat,m
rohit,m
bobby,m
sumit,m
yogesh,m
mehak,f
farman,m
arvind,m
shweta,f
rekha devi @ geeta,f
anish,m
naman @ bobbi,m
priti,f
gouri shankar,m
meena,f
jubed,m
jomiya,f
sonam,f
ganeshi,f
harshit,m
vikky,m
abhishek,m
mangi lal,m
gonsan topno,m
smt.sunita devi,f
dinesh pal,m
श्री ऐमराज,m
vimal kumar,m
champa karketta,f
lakshay,m
bhanwar singh,m
gulshan,m
suman,f
suman with a child vishal,f
smt. seema sharma,f
rekha,f
tarannum,f
ravinder kaur,f
kajal,f
anshu rathor,f
mohd siraz s/o mohd nisar,m
gurvinder singh,m
smt. leela,f
arti,f
abishak soni,m
sh pankaj khurana,m
hemant,m
mrs. nidhi,f
ravi,m
sawana,f
malti devi,f
harvansh shrama,m
priyanka,f
atul kumar @ rahul,m
kavit goyar,f
soniya,f
parmod kumar,m
rahul singh bisht,m
gorav,m
rukhsar,f
parbhat,m
monu bansal,m
anjali,f
sany@aman,m
sarvash prashad,m
mahender kumar,m
anu,f
saroj,f
mohit kumar,m
harish ahuja,m
pardeep,m
laxman,m
iswar sharan,m
raj bahadur,m
mohit,m
shamima,f
balram,m
vijay kumar,m
sagar pandey,m
disha,f
sunita,f
pinkoo @ guddu,m
sarabjit kaur,f
shikha,f
renu,f
chanda kumari,f
atul,m
amir,m
meera devi,f
komal,f
सलमा,f
mooli devi,f
mithun kumar,m
mukesh kumar yogi,m
kanta,f
ravi kant boity,m
prince,m
smt. anusuiya,f
rakesh kumar,m
vaibav gupta,m
pardeep @rahul,m
suman,f
smt seema,f
mandeep,m
abdul hassan,m
muskan kaur,f
adisan,m
smt.sunita,f
smt. durga nat,f
suraj kumar,m
md. basir @ bechan,m
poonam,f
natasha bhan,f
priyanka,f
tarun,f
geeta,f
mamta,f
babli,f
maya devi,f
sunita,f
anokha kumar misra,m
satya narain,m
lalit kumar,m
krishan lal,m
vicky @ gaggi,m
abhishek,m
rekha,f
baljeet kaur,f
prashant yadav,m
jitender yadav,m
ved prakash,m
pooja,f
kajal,f
preeti,f
ramesh kumar,m
suraj,m
sangeeta,f
anjum,f
amit,m
nanda devi,f
payal,f
rahul shukla,m
inderjit,m
rani,f
sanju,f
seema,f
md.ansar,m
gulshad,m
saieman,m
abhinandan,m
deepak,m
hema devi with with his daughter nalini age 4yrs,f
ashok kumar,m
rajiya w/o aashkim,f
annavi begam,f
rupa,f
radheshyam,m
sandip,m
barham parkash,m
amin urf baba,m
mr. himmat singh,m
sapna,f
neeraj,m
mukesh,m
ravinder,m
lokesh,m
sangeeta,f
sandeep kumar @messi,m
shrimati sunita devi,f
neha,f
smt kanchan devi,f
prittam dass,m
reena gupta,f
ravina yadav,f
sher singh,m
firida,f
komal,f
naresh,m
boby,m
neelam,f
vinod kumar,m
pinky,f
rajender,m
manish khandelwal,m
abhishek tripathi,m
sharda,f
rohit @ jangu,m
anita,f
sanjeev dass,m
manka,f
partap singh,m
nirmala,f
balbir singh,m
palak,f
sosari gameti,f
rimmi singh,f
renu,f
rekha,f
ishwar,m
poonam,f
gaurav kumar,m
yogita,f
dinesh,m
sarita sharma,f
rupak singh,m
pardeep mohauti,m
amit,m
ram parsad,m
goverdhan,m
piyus,m
ashanjali,f
aamir,m
narayan lal,m
mukesh,m
sagar,m
mithlesh,f
neha,f
chootu,m
chotelal,m
sher singh,m
champa,f
dharmender kumar,m
harpreet kaur @ geetanjli,f
sonia,f
poonam,f
smt aasha,f
rukmani,f
pushpa,f
manish kumar,m
anil kumar,m
mandira  devi,f
anurag,m
manish,m
manisha,f
ratan singh,m
usha,f
jamna lal,m
vijay  banshwal,m
sonam,f
rajshree,f
mashli,f
mrs. leela,f
sagar,m
govinda,m
vikash,m
saloni,f
krishna,f
leela,f
deepak,m
sanjit kumar,m
chndrakla,f
sahil,m
maya,f
sandhya w/o arjun singh jatav,f
pinki bai,f
manju devi,f
ravinder,m
sanjeev verma,m
ajay,m
vipin kumar,m
babbu,m
rachna,f
akhtari @ muskan,f
parveen sha,m
abdul salam,m
manno,f
rama ram,m
arif,m
hema,f
rakesh bhatia,m
ku rajindre,f
pavan kumar,m
sudama with 2 children,f
surendra singh,m
aarti,f
mali ram,m
ankur baliyan,m
dharmender kashyap,m
namarta d/o,f
chaman gupta,m
arun kumar jain,m
soni,f
edris yusuf zai,m
neha siddiki,f
bhoop singh,m
raj kumar,m
uzma,f
titu@devender,m
roshni,f
jyoti,f
shivraj,m
vishnu,m
naman jain,m
kiran,f
smt laxmi,f
kafia,f
shree susila bali,f
shanaz,f
nitin sharma,m
mannu jain,m
sunita,f
amritpal,m
raj kumari,f
joydeep singh,m
sumit,m
shyam lukka,m
mukesh kumar,m
radheshyam gupta,m
jeeya lal,m
ranjan rawat,m
jamad ali,m
ravi dutt,m
diwansi,f
vidyadatt josi,m
geeta saini,f
pooja,f
rajni,f
ramphal,m
shiwani,f
habiba,f
pinky,f
yashoda,f
smt sajan kuwar,f
roshni,f
pradeep kumar sharma @ deepu,m
lata mandal,f
pushpa,f
veeru kumari,f
alok jha,m
mamta,f
poonam,f
vinod @ raju,m
nagma,f
smt kamla deve,f
paramjeet kour,f
pooja,f
virpal,m
leela meena,f
nanveet kaur,f
shankar lal gopalani,m
chahat,f
reena,m
mohamad abdul matin,m
harpal kishan,m
keshave mahta,m
brijesh,m
goutam,m
naresh,m
rekha devi,f
ku. rekha kumawat,f
praveen kumar pal,m
bishun,m
oli ahmad,m
balbir gela,m
sudarshan,m
rohit,m
mohd. izhar,m
ankit,m
shahbaz,m
padam bahadur s/o karan,m
jaideep @ monu,m
rahul pandey,m
sitara,f
pintu,m
maman singh,m
sunita,f
kishan lal,m
satpal,m
krishna devi,f
jyoti,f
mamta,f
hari singh,m
puran chand,m
bhagat singh,m
ramesh singh,m
pinki,f
joity,f
dipak joshi,m
bhola,m
kajal,f
zamile amhed,m
reshma,f
pawan @ pintu,m
chandni,f
rajinder bhasin alias babbu,m
pooja devi,f
kishnaram,m
sameena,f
khushboo,f
pera chandra,m
pooja,f
ramba @ kamla,f
pulkit sharma,m
usha,f
hari singh,m
shelender yadav,m
nikita,f
pawan kumar,m
sumit sah,m
jai prakash,m
neelam,f
kiran,f
vaijanti devi,f
kasim,m
rambhajan,m
barkha,f
sonam,m
sandeep,m
rekha,f
dilshad,m
afshar,m
mohd imran @ munna,m
makhan singh,m
sarojani,f
ashish solanki,m
pinki,f
monu kumar,m
aarju,f
reena ( with child durgesh 4 years).,f
anil chouhan,m
vinita,f
radha,f
harsh @ aman,m
shivani,f
upasana @anshu,f
tinki,f
amit rana,m
mustkim,m
jaimala @ chanchal,f
rahul,m
ajima fatima,f
priyanka,f
mustkeem ali,m
tinku singh,m
chand ram,m
kaishav,m
rajendra,m
neeraj sharma,m
gitika,f
saridevi,f
"savita, sagar, panap",f
manisha,f
riya kashyap,f
kanhiya sukla,m
babita,f
shashank,m
madhu,f
rupa,f
monu,m
dhanna lal,m
dhrmveer singh,m
rajni mahraval,f
madhu,f
smt channu bansada,f
dipu sharma,m
khushnuma,f
arvind @ milla,m
vicky,m
sitara,f
deepak kumar,m
sangeeta,f
guddu paswan,m
radha,f
sazia,f
sanjay,m
kajol,f
sourabh,m
prem singh,m
malchand,m
rekha,f
hemlata,f
rohit,m
manormapal,f
pradeep saini,m
rukshana,f
rinki,f
satendra pal singh,m
lalit singh bisht,m
dalip,m
devashish sahu,m
tulsi,f
mohini,f
kumari ritu,f
ghaseeta ram,m
yasar ali,m
barj bhusan,m
aman,m
rakhi,f
aashis,m
preeti gupta,f
jyoti,f
prem singh,m
कोशल्‍या,f
deepak,m
amir,m
vansh,m
luxmi,f
shiv mangal rai,m
kanchan,f
heena,f
aarti,f
smt kavita w/o ganesh harijan,f
sabbo,f
kamlesh,f
raju,m
dara singh,m
chanchal,m
madan singh,m
shiv ram @ neppu rai,m
neetu,f
chandni,f
prashansa,m
sahajha praveen,f
anita,f
raj kumari,f
jyoti,f
sohal pal,m
monu,m
rahi@ beby,f
rahul sharma,m
kiran devi,f
ruksana,f
sintu kumari,f
rizvana,f
rajkumar,m
jayada,f
anjali,f
chetna,m
anju,f
ankit,m
kapil,m
gulshan,f
meena,f
pooja,f
bhuwan,m
sanjeev kumar,m
dharamvir @ guddu,m
ram parvesh,m
manju,f
santosh kumar,m
priynka,f
vipulander,m
vicky,m
shahrukh,m
phool chand,m
sushila,f
narendra  mishra,m
jaanki,f
aanad sharma,m
anuj kumar,m
md.gulsher alvi,m
sonu kumar,m
naina,f
wiliyam,m
seema bai,f
kumari firdosh,f
soni khati,f
ravi kumar,m
parth,m
lokesh,m
rimpy,f
sanjay handda,m
jyoti,f
saleem,m
ratan lal,m
monika mehar,f
dharmender,m
satish kumar,m
nilam bhoi,f
neelam,f
basanti,f
shiva bai,f
shgita,f
pooja,f
manni bai,f
deepak,m
narender singh,m
priya,f
kajal,f
mobin,m
pooja,m
pooja arora,f
vikash,m
araddhna,f
preety,f
kangana,f
biitu tomar,m
sunita,f
amit,m
smt. dipika,f
arti,f
deepa,f
shalu,f
shalini with child ayush age-6 yrs,f
mahipal,m
rashmi,f
rahul,m
praveen kumar girdhar,m
saranthem monika,f
sunil,m
anil,m
biwa kumari,f
roshan lal,m
mahipal,m
mukesh,m
vidya,f
ekata meena @ kiran,f
fara,f
poonam gupta,f
satender,m
smt sonu sharma,f
ashok kumar,m
priya,f
bunty @ chandan,m
rihaan,m
amit,m
mustikeem khan,m
vinod kumar,m
komal,f
asarfi lal,m
smt. kavita,f
shahnawaz,m
reshma @ chandani,f
poonam,f
ashish,m
trepti aggarwal,f
kanchan,f
ravina,f
preety,f
robin,m
heena bano,f
mukesh kumar,m
soniya hudda,f
yogender,m
seema,f
umashanker,m
hazari lal,m
spna,f
hema devi,f
sunil,m
rustam,m
sundar,m
sakina,f
randhir ram,m
deepak,m
poonam,f
rinku,f
sandhya sharma,f
sangita,f
surender kumar singh,m
mahender sharma,m
sahanaj khatun,f
nahid fatima,f
payal,f
ansul,m
kavita,f
deepika,f
poonam,f
yashin,m
shiwani,f
nand kishor @ nandu,m
nimla sharama,f
sunita,f
seema,f
anjli,f
sapna,f
rekha,f
रामकिशो&,m
vidya,f
deepika burt,f
puja yadav,f
ashutosh kumar,m
punarjyoti lahiri,m
danish,m
smt lakshmi devi  w/o manoj singh  rawat age 27 ye,f
tanu,f
ravindra singh,m
damini,f
majunew,m
sapna,f
munny,f
kumari shri devi,f
laxmi,f
reshma,f
gulshan,f
pooja/varsha,f
anil,m
rukshar,f
reshma ahari,f
himal,m
ankit,m
jyoti,f
irfan @ sonu,m
kiran,f
meeta jena,f
kumari archana chauhan,m
reena saini,f
durga devi,f
krishna devi,f
neeraj bhatt,m
harpreet kaur,f
roshni,f
meetu,f
seema,f
अरूण कुम,m
mahendra salani,m
mukesh jat,m
sheela,f
smt. sushila,f
saima,f
km vijeta,f
nirmla,f
deepak @ rahul saxena,m
vishal,f
naseem,m
priti,f
sheela,f
hari mohan,m
mohd jaid,m
sahadeb bhuniya,m
rima khan,f
omparsad,m
sanju devi,f
soni,f
jaipal,m
rajpal sharma s/o mahadev prasad,m
saroj,f
praveen jain,m
preeti,f
jaykumar @ sindu,m
md saeed,m
panchi,f
nootan,f
somnath batra,m
monika,f
awdesh kumar,m
nanak chand,m
kalip,m
rubi pravin,f
mona,f
meena  pawar,f
anuradha,f
satyam,m
kanta devi,f
yashoda,f
pawan,m
roshani,f
teena kanwar,f
insaf ali,m
tohmeena,f
suman,f
rohit agarwal,m
poonam  kewat,f
anurag mohan saklani,m
shahrukh,m
moh. harun,m
tina kour,f
kusuma,f
nikki kumari,f
geeta,f
sarabjeet singh,m
prem shaksana,m
smt geeta,f
kumari varsha,f
nikkhar,f
versa,f
manoj kumar,m
pooja,f
smt rajbala,f
bhupender singh,m
jitender kumar,m
radikha,f
poonam,f
bhojpal,m
ravi,m
rupesh,m
ravi,m
rinki,f
smt. vimla devi,f
kushal,m
sunil kumar,m
ajit singh,m
mala,f
subhash,m
radha,f
kumari priya,f
rada sharn,m
tavraj,m
rani @ raju,f
nasreen,f
soniya,f
asha,f
momita dass,f
raj kishore,m
pooja shrama,f
prahlad,m
malika,f
shiwani,f
susan subva,m
seema khatun,f
minakshi,f
nitin verma,m
amit yadav,m
sunil kumar,m
smt momina,f
radha,f
vakil,m
puja,f
pushpa,f
shahruf,m
poonam,m
hanif khan,m
keshav kumar,m
neelam,f
nisha,f
smt anita,f
ved prakash,m
shilpa,f
prem,m
jai prakash kashyap,m
shabana,f
suman,f
pooja,f
sapna,f
virender paswan,m
maj- koko khaing,m
gulesta,f
bhanwar singh,m
prakash,m
sanjeev @ kaku,m
tina,f
vivek chabra,m
arti kumari d/o sunil sadu,f
satpal,m
sunil kumar,m
geeta @ mukesha,f
raman d/o,f
jagviri,f
chetana,f
neelam @ munni,f
munesh,f
neelam,f
payal,f
vinod kumar,m
kishan lal,m
saahin,f
joyti,f
mala,f
md. saran,m
nisha,f
ravikant mahawar,m
abida,f
harender kumar,m
manjeet kaur,m
roshni,f
rekha,f
suman,f
akram khan,m
jai kumar gupta,m
raju gupta,m
radha,f
smarti  kumari,f
zahid,m
meenu,f
laxmi babu,f
bhakuni devi,f
kumari mamta,f
chunni devi,f
bhanwar lal vesnav,m
rajeev kumar,m
mangla ram,m
shamima,f
dimpal,f
kavita,f
chandra parkash,m
upender mehto,m
sheetal,f
atul uppel,m
man devi,f
santosh kaur,f
jyoti ram,m
ed mohmad,m
madan lal,m
pooja gupta,f
suman,f
hari mohan gurjar,m
smt kristina,f
rakhi kumari,f
sonam,f
tamnna,m
sheetal,f
puneet,m
hiralal,m
dheerendra tiwari,m
sarita,f
arjun singh @ shubham,m
vasa ram,m
sonu pandy,f
amit,m
gd harendra yadav,m
sanjeev,m
kumari nenu,f
krishna,f
vishal rastogi,m
कु0 यासमी,f
smt. sukhdeep kaur w/o nishan singh,f
preeti,f
laxmi devi,f
rajeev singh,m
smt sangeeta,f
dhanjay,m
anuradha,f
naresh,m
shambu dayal,m
radha,f
kashish sharma,m
payal,f
rajkumar,m
